Common Name,Species Name
Lake sturgeon,Acipenser fulvescens
Bowfin,Amia calva
Alewife,Alosa pseudoharengus
Gizzard Shad ,Dorosoma cepedianum
Chubs or deepwater ciscoes,Coregonus spp.
Lake herring or cisco,Coregonus artedi
Lake whitefish,Coregonus clupeaformis
Round whitefish or Menominee whitefish,Prosopium cylindraceum
Lake trout,Salvelinus namaycush
Pacific salmon,Oncorhynchus spp.
Coho salmon,Oncorhynchus kisutch
Rainbow Smelt,Osmerus mordax
Northern pike,Esox lucius
Goldfish,Carassius auratus
Carp,Cyprinus carpio
Minnows,Cyprinidae
Suckers_M,Moxostoma spp.
Suckers_C,Catostomus spp.
Buffalo,Ictiobus  spp.
Quillback,Carpiodes cyprinus
Bullheads,Ictalurus spp.
Channel catfish,Ictalurus punctatus
American eel,Anguilla rostrata
Burbot,Lota lota
White perch,Morone americana
White bass,Morone chrysops
Rock bass,Ambloplites rupestris
Sunfish,Lepomis spp.
Smallmouth bass,Micropterus dolomieu
Yellow perch,Perca flavescens
Sauger,Sander canadensis
Walleye,Sander vitreus
Blue pike,Sander vitreus glaucum
Sheepshead or freshwater drum,Aplodinotus grunniens
