"","Family","Genus","sci_name","Fish_Type"
"1","Acipenseridae","Acipenser","Acipenser fulvescens","Commercial"
"2","Clupeidae","Alosa","Alosa aestivalis","Non_Commercial"
"3","Clupeidae","Alosa","Alosa chrysochloris","Non_Commercial"
"4","Clupeidae","Alosa","Alosa pseudoharengus","Commercial"
"5","Clupeidae","Alosa","Alosa sapidissima","Non_Commercial"
"6","Centrarchidae","Ambloplites","Ambloplites rupestris","Commercial"
"7","Ictaluridae","Ameiurus","Ameiurus catus","Non_Commercial"
"8","Ictaluridae","Ameiurus","Ameiurus melas","Non_Commercial"
"9","Ictaluridae","Ameiurus","Ameiurus natalis","Non_Commercial"
"10","Ictaluridae","Ameiurus","Ameiurus nebulosus","Non_Commercial"
"11","Amiidae","Amia","Amia calva","Commercial"
"12","Percidae","Ammocrypta","Ammocrypta clara","Non_Commercial"
"13","Percidae","Ammocrypta","Ammocrypta pellucida","Non_Commercial"
"14","Anguillidae","Anguilla","Anguilla rostrata","Commercial"
"15","Gasterosteidae","Apeltes","Apeltes quadracus","Non_Commercial"
"16","Aphredoderidae","Aphredoderus","Aphredoderus sayanus","Non_Commercial"
"17","Sciaenidae","Aplodinotus","Aplodinotus grunniens","Commercial"
"18","Cyprinidae","Campostoma","Campostoma anomalum","Commercial"
"19","Cyprinidae","Campostoma","Campostoma oligolepis","Commercial"
"20","Cyprinidae","Carassius","Carassius auratus","Commercial"
"21","Catostomidae","Carpiodes","Carpiodes carpio","Non_Commercial"
"22","Catostomidae","Carpiodes","Carpiodes cyprinus","Commercial"
"23","Catostomidae","Catostomus","Catostomus catostomus","Commercial"
"24","Catostomidae","Catostomus","Catostomus commersonii","Commercial"
"25","Cyprinidae","Chrosomus","Chrosomus eos","Commercial"
"26","Cyprinidae","Chrosomus","Chrosomus erythrogaster","Commercial"
"27","Cyprinidae","Chrosomus","Chrosomus neogaeus","Commercial"
"28","Cyprinidae","Clinostomus","Clinostomus elongatus","Commercial"
"29","Salmonidae","Coregonus","Coregonus artedi","Commercial"
"30","Salmonidae","Coregonus","Coregonus clupeaformis","Commercial"
"31","Salmonidae","Coregonus","Coregonus hoyi","Commercial"
"32","Salmonidae","Coregonus","Coregonus kiyi","Commercial"
"33","Salmonidae","Coregonus","Coregonus reighardi","Commercial"
"34","Salmonidae","Coregonus","Coregonus zenithicus","Commercial"
"35","Cottidae","Cottus","Cottus bairdii","Non_Commercial"
"36","Cottidae","Cottus","Cottus cognatus","Non_Commercial"
"37","Cottidae","Cottus","Cottus ricei","Non_Commercial"
"38","Cyprinidae","Couesius","Couesius plumbeus","Commercial"
"39","Cyprinidae","Ctenopharyngodon","Ctenopharyngodon idella","Commercial"
"40","Gasterosteidae","Culaea","Culaea inconstans","Non_Commercial"
"41","Cyprinidae","Cyprinella","Cyprinella analostana","Commercial"
"42","Cyprinidae","Cyprinella","Cyprinella lutrensis","Commercial"
"43","Cyprinidae","Cyprinella","Cyprinella spiloptera","Commercial"
"44","Cyprinidae","Cyprinella","Cyprinella whipplei","Commercial"
"45","Cyprinidae","Cyprinus","Cyprinus carpio","Commercial"
"46","Clupeidae","Dorosoma","Dorosoma cepedianum","Commercial"
"47","Centrarchidae","Enneacanthus","Enneacanthus gloriosus","Non_Commercial"
"48","Catostomidae","Erimyzon","Erimyzon oblongus","Non_Commercial"
"49","Catostomidae","Erimyzon","Erimyzon sucetta","Non_Commercial"
"50","Esocidae","Esox","Esox americanus","Non_Commercial"
"51","Esocidae","Esox","Esox lucius","Commercial"
"52","Esocidae","Esox","Esox masquinongy","Non_Commercial"
"53","Esocidae","Esox","Esox niger","Non_Commercial"
"54","Percidae","Etheostoma","Etheostoma blennioides","Non_Commercial"
"55","Percidae","Etheostoma","Etheostoma caeruleum","Non_Commercial"
"56","Percidae","Etheostoma","Etheostoma exile","Non_Commercial"
"57","Percidae","Etheostoma","Etheostoma flabellare","Non_Commercial"
"58","Percidae","Etheostoma","Etheostoma microperca","Non_Commercial"
"59","Percidae","Etheostoma","Etheostoma nigrum","Non_Commercial"
"60","Percidae","Etheostoma","Etheostoma olmstedi","Non_Commercial"
"61","Percidae","Etheostoma","Etheostoma spectabile","Non_Commercial"
"62","Percidae","Etheostoma","Etheostoma zonale","Non_Commercial"
"63","Cyprinidae","Exoglossum","Exoglossum laurae","Commercial"
"64","Cyprinidae","Exoglossum","Exoglossum maxillingua","Commercial"
"65","Fundulidae","Fundulus","Fundulus diaphanus","Non_Commercial"
"66","Fundulidae","Fundulus","Fundulus dispar","Non_Commercial"
"67","Fundulidae","Fundulus","Fundulus notatus","Non_Commercial"
"68","Poeciliidae","Gambusia","Gambusia affinis","Non_Commercial"
"69","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","Non_Commercial"
"70","Percidae","Gymnocephalus","Gymnocephalus cernua","Non_Commercial"
"71","Hiodontidae","Hiodon","Hiodon tergisus","Non_Commercial"
"72","Cyprinidae","Hybognathus","Hybognathus hankinsoni","Commercial"
"73","Cyprinidae","Hybognathus","Hybognathus regius","Commercial"
"74","Cyprinidae","Hybopsis","Hybopsis amblops","Commercial"
"75","Catostomidae","Hypentelium","Hypentelium nigricans","Non_Commercial"
"76","Petromyzontidae","Ichthyomyzon","Ichthyomyzon castaneus","Non_Commercial"
"77","Petromyzontidae","Ichthyomyzon","Ichthyomyzon fossor","Non_Commercial"
"78","Petromyzontidae","Ichthyomyzon","Ichthyomyzon unicuspis","Non_Commercial"
"79","Ictaluridae","Ictalurus","Ictalurus punctatus","Commercial"
"80","Catostomidae","Ictiobus","Ictiobus bubalus","Commercial"
"81","Catostomidae","Ictiobus","Ictiobus cyprinellus","Commercial"
"82","Catostomidae","Ictiobus","Ictiobus niger","Commercial"
"83","Atherinopsidae","Labidesthes","Labidesthes sicculus","Non_Commercial"
"84","Lepisosteidae","Lepisosteus","Lepisosteus oculatus","Non_Commercial"
"85","Lepisosteidae","Lepisosteus","Lepisosteus osseus","Non_Commercial"
"86","Lepisosteidae","Lepisosteus","Lepisosteus platostomus","Non_Commercial"
"87","Centrarchidae","Lepomis","Lepomis cyanellus","Commercial"
"88","Centrarchidae","Lepomis","Lepomis gibbosus","Commercial"
"89","Centrarchidae","Lepomis","Lepomis gulosus","Commercial"
"90","Centrarchidae","Lepomis","Lepomis humilis","Commercial"
"91","Centrarchidae","Lepomis","Lepomis macrochirus","Commercial"
"92","Centrarchidae","Lepomis","Lepomis megalotis","Commercial"
"93","Centrarchidae","Lepomis","Lepomis microlophus","Commercial"
"94","Petromyzontidae","Lethenteron","Lethenteron appendix","Non_Commercial"
"95","Lotidae","Lota","Lota lota","Non_Commercial"
"96","Cyprinidae","Luxilus","Luxilus chrysocephalus","Commercial"
