"","sci_name"
"1","Carcharhinus limbatus"
"2","Epinephelus striatus"
"3","Mycteroperca rubra"
"4","Thunnus alalunga"
"5","Thunnus thynnus"
"6","Schroederichthys bivius"
"7","Galeorhinus galeus"
"8","Mustelus lenticulatus"
"9","Raja clavata"
"10","Raja microocellata"
"11","Centroscymnus coelolepis"
"12","Echinorhinus brucus"
"13","Epinephelus fuscoguttatus"
"14","Epinephelus morio"
"15","Discopyge tschudii"
"16","Hydrolagus colliei"
"17","Callorhinchus callorynchus"
"18","Bathyraja brachyurops"
"19","Bathyraja macloviana"
"20","Argyrosomus hololepidotus"
"21","Epinephelus aeneus"
"22","Epinephelus spilotoceps"
"23","Epinephelus longispinis"
"24","Epinephelus tauvina"
"25","Cephalopholis taeniops"
"26","Cheilinus trilobatus"
"27","Pagrus auratus"
"28","Caranx crysos"
"29","Nemipterus virgatus"
"30","Eopsetta jordani"
"31","Sardinella longiceps"
"32","Decapterus russelli"
"33","Clupea harengus"
"34","Lutjanus apodus"
"35","Halichoeres binotopsis"
"36","Benthosema pterotum"
"37","Chelmon rostratus"
"38","Cynoglossus puncticeps"
"39","Gerres oyena"
"40","Diplodus sargus"
"41","Pagrus caeruleostictus"
"42","Dentex maroccanus"
"43","Dentex canariensis"
"44","Oblada melanura"
"45","Rhabdosargus holubi"
"46","Pagellus erythrinus"
"47","Pagellus acarne"
"48","Dentex dentex"
"49","Boops boops"
"50","Sparus aurata"
"51","Spondyliosoma cantharus"
"52","Spicara maena"
"53","Scomber japonicus"
"54","Katsuwonus pelamis"
"55","Scomberomorus guttatus"
"56","Scomberomorus commerson"
"57","Rastrelliger brachysoma"
"58","Scomberomorus maculatus"
"59","Scomberomorus brasiliensis"
"60","Euthynnus affinis"
"61","Thunnus orientalis"
"62","Scomber scombrus"
"63","Ctenochaetus binotatus"
"64","Acanthurus mata"
"65","Malacoctenus gigas"
"66","Paralichthys adspersus"
"67","Sphoeroides annulatus"
"68","Trachinotus paitensis"
"69","Lutjanus guttatus"
"70","Hypsoblennius gilberti"
"71","Halichoeres dispilus"
"72","Plagiotremus azaleus"
"73","Caulolatilus princeps"
"74","Lipophrys pholis"
"75","Tautogolabrus adspersus"
"76","Oxycheilinus digramma"
"77","Symphodus ocellatus"
"78","Halichoeres nigrescens"
"79","Cheilinus fasciatus"
"80","Brevoortia tyrannus"
"81","Pseudopleuronectes americanus"
"82","Rachycentron canadum"
"83","Calotomus carolinus"
"84","Scarus tricolor"
"85","Scarus ghobban"
"86","Sparisoma cretense"
"87","Scarus falcipinnis"
"88","Scarus rubroviolaceus"
"89","Scarus psittacus"
"90","Elops saurus"
"91","Lagocephalus guentheri"
"92","Takifugu oblongus"
"93","Lutjanus synagris"
"94","Lutjanus malabaricus"
"95","Lutjanus campechanus"
"96","Haemulon flavolineatum"
"97","Plectorhinchus mediterraneus"
"98","Echelus myrus"
"99","Trachurus lathami"
"100","Stolephorus indicus"
"101","Sardina pilchardus"
"102","Lophius budegassa"
"103","Trachurus mediterraneus"
"104","Arnoglossus laterna"
"105","Microchirus azevia"
"106","Caulolatilus intermedius"
"107","Decapterus punctatus"
"108","Sardinella brasiliensis"
"109","Selene vomer"
"110","Lethrinus olivaceus"
"111","Lethrinus variegatus"
"112","Lethrinus xanthochilus"
"113","Monotaxis grandoculis"
"114","Saurida undosquamis"
"115","Dussumieria elopsoides"
"116","Platichthys stellatus"
"117","Pterocaesio chrysozona"
"118","Carangoides chrysophrys"
"119","Carangoides fulvoguttatus"
"120","Caranx melampygus"
"121","Megalaspis cordyla"
"122","Selaroides leptolepis"
"123","Trachinotus mookalee"
"124","Trachurus japonicus"
"125","Nemipterus japonicus"
"126","Siganus javus"
"127","Cynoglossus arel"
"128","Acanthopagrus arabicus"
"129","Atrobucca nibe"
"130","Collichthys lucidus"
"131","Otolithes ruber"
"132","Protonibea diacanthus"
"133","Photopectoralis bindus"
"134","Sargocentron spiniferum"
"135","Siganus fuscescens"
"136","Monacanthus chinensis"
"137","Chirocentrus dorab"
"138","Sardinella fimbriata"
"139","Stolephorus commersonnii"
"140","Thryssa dussumieri"
"141","Squalus acanthias"
"142","Amblygaster sirm"
"143","Spratelloides robustus"
"144","Coilia mystus"
"145","Engraulis japonicus"
"146","Setipinna taty"
"147","Bassanago albescens"
"148","Bathytoshia centroura"
"149","Siganus sutor"
"150","Chlorophthalmus corniger"
"151","Beryx mollis"
"152","Cynoglossus lida"
"153","Solea ovata"
"154","Diaphus suborbitalis"
"155","Electrona carlsbergi"
"156","Hippoglossus stenolepis"
"157","Limanda aspera"
"158","Scyliorhinus canicula"
"159","Pentapodus setosus"
"160","Menticirrhus americanus"
