"","sci_name","Genus","Species","nutrient_data","ctmax_estimate","gl_fish","db","Family"
"1","Oreochromis niloticus","Oreochromis","niloticus","Y","Y",NA,"itis","Cichlidae"
"2","Clarias batrachus","Clarias","batrachus","Y",NA,NA,"itis","Clariidae"
"3","Clarias gariepinus","Clarias","gariepinus","Y","Y",NA,"itis","Clariidae"
"4","Clarias macrocephalus","Clarias","macrocephalus","Y",NA,NA,"itis","Clariidae"
"5","Esox lucius","Esox","lucius","Y","Y","Y","itis","Esocidae"
"6","Ictalurus punctatus","Ictalurus","punctatus","Y","Y","Y","itis","Ictaluridae"
"7","Pangasius hypophthalmus","Pangasius","hypophthalmus","Y",NA,NA,"itis","Pangasiidae"
"8","Salmo salar","Salmo","salar","Y","Y","Y","itis","Salmonidae"
"9","Oncorhynchus mykiss","Oncorhynchus","mykiss","Y","Y","Y","itis","Salmonidae"
"10","Solea solea","Solea","solea","Y","Y",NA,"itis","Soleidae"
"11","Gadus morhua","Gadus","morhua","Y","Y",NA,"itis","Gadidae"
"12","Gadus macrocephalus","Gadus","macrocephalus","Y",NA,NA,"itis","Gadidae"
"13","Dicentrarchus labrax","Dicentrarchus","labrax","Y","Y",NA,"itis","Moronidae"
"14","Trachurus trachurus","Trachurus","trachurus","Y",NA,NA,"itis","Carangidae"
"15","Oreochromis mossambicus","Oreochromis","mossambicus","Y","Y",NA,"itis","Cichlidae"
"16","Channa striata","Channa","striata","Y",NA,NA,"itis","Channidae"
"17","Mullus surmuletus","Mullus","surmuletus","Y","Y",NA,"itis","Mullidae"
"18","Merlangius merlangus","Merlangius","merlangus","Y",NA,NA,"itis","Gadidae"
"19","Scomberomorus guttatus","Scomberomorus","guttatus","Y",NA,NA,"itis","Scombridae"
"20","Tenualosa ilisha","Tenualosa","ilisha","Y",NA,NA,"itis","Clupeidae"
"21","Thryssa purava","Thryssa","purava","Y",NA,NA,"itis","Engraulidae"
"22","Parastromateus niger","Parastromateus","niger","Y",NA,NA,"itis","Carangidae"
"23","Protonibea diacanthus","Protonibea","diacanthus","Y",NA,NA,"itis","Sciaenidae"
"24","Mugil cephalus","Mugil","cephalus","Y","Y",NA,"itis","Mugilidae"
"25","Rastrelliger kanagurta","Rastrelliger","kanagurta","Y",NA,NA,"itis","Scombridae"
"26","Pampus argenteus","Pampus","argenteus","Y",NA,NA,"itis","Stromateidae"
"27","Nemipterus japonicus","Nemipterus","japonicus","Y",NA,NA,"itis","Nemipteridae"
"28","Sardinella fimbriata","Sardinella","fimbriata","Y",NA,NA,"itis","Clupeidae"
"29","Leptomelanosoma indicum","Leptomelanosoma","indicum","Y",NA,NA,"itis","Polynemidae"
"30","Harpadon nehereus","Harpadon","nehereus","Y",NA,NA,"itis","Synodontidae"
"31","Lates calcarifer","Lates","calcarifer","Y","Y",NA,"itis","Centropomidae"
"32","Channa marulius","Channa","marulius","Y",NA,NA,"itis","Channidae"
"33","Labeo rohita","Labeo","rohita","Y","Y",NA,"itis","Cyprinidae"
"34","Catla catla","Catla","catla","Y","Y",NA,"itis",NA
"35","Prochilodus reticulatus","Prochilodus","reticulatus","Y",NA,NA,"itis","Curimatidae"
"36","Colossoma macropomum","Colossoma","macropomum","Y",NA,NA,"itis","Characidae"
"37","Cynoscion acoupa","Cynoscion","acoupa","Y",NA,NA,"itis","Sciaenidae"
"38","Mugil curema","Mugil","curema","Y","Y",NA,"itis","Mugilidae"
"39","Merluccius albidus","Merluccius","albidus","Y",NA,NA,"itis","Merlucciidae"
"40","Epinephelus striatus","Epinephelus","striatus","Y",NA,NA,"itis","Serranidae"
"41","Lutjanus buccanella","Lutjanus","buccanella","Y",NA,NA,"itis","Lutjanidae"
"42","Centropomus undecimalis","Centropomus","undecimalis","Y",NA,NA,"itis","Centropomidae"
"43","Macrognathus aculeatus","Macrognathus","aculeatus","Y",NA,NA,"itis","Mastacembelidae"
"44","Cirrhinus cirrhosus","Cirrhinus","cirrhosus","Y",NA,NA,"itis","Cyprinidae"
"45","Salvelinus alpinus","Salvelinus","alpinus","Y",NA,NA,"itis","Salmonidae"
"46","Thymallus arcticus","Thymallus","arcticus","Y","Y",NA,"itis","Salmonidae"
"47","Spondyliosoma cantharus","Spondyliosoma","cantharus","Y",NA,NA,"itis","Sparidae"
"48","Melanogrammus aeglefinus","Melanogrammus","aeglefinus","Y",NA,NA,"itis","Gadidae"
"49","Coryphaenoides rupestris","Coryphaenoides","rupestris","Y",NA,NA,"itis","Macrouridae"
"50","Clupea harengus","Clupea","harengus","Y","Y",NA,"itis","Clupeidae"
